 1977     0    70.00     0.00    70.00    25.00     0.00    25.00   -70.00     0.00   -70.00 federal         
 1978     0    70.00     0.00    70.00    16.00     0.00    16.00   -70.00     0.00   -70.00 federal         
 1979     0    50.01     0.00    50.01    27.21     0.00    27.21   -50.05     0.00   -50.05 federal         
 1980     0    50.01     0.00    50.01    27.21     0.00    27.21   -50.05     0.00   -50.05 federal         
 1981     0    50.01     0.00    50.01    26.90     0.00    26.90   -50.05     0.00   -50.05 federal         
 1982     0    50.00     0.00    50.00    20.00     0.00    20.00   -50.00     0.00   -50.00 federal         
 1983     0    50.00     0.00    50.00    20.00     0.00    20.00   -50.00     0.00   -50.00 federal         
 1984     0    50.00     0.00    50.00    20.00     0.00    20.00   -50.00     0.00   -50.00 federal         
 1985     0    50.00     0.00    50.00    20.00     0.00    20.00   -50.00     0.00   -50.00 federal         
 1986     0    50.00     0.00    50.00    20.00     0.00    20.00   -50.00     0.00   -50.00 federal         
 1987     0    38.50     0.00    38.50    28.00     0.00    28.00   -38.50     0.00   -38.50 federal         
 1988     0    28.00     0.00    28.00    28.00     0.00    28.00   -28.00     0.00   -28.00 federal         
 1989     0    28.00     0.00    28.00    28.00     0.00    28.00   -28.00     0.00   -28.00 federal         
 1990     0    28.00     0.00    28.00    28.00     0.00    28.00   -28.00     0.00   -28.00 federal         
 1991     0    31.93     0.00    31.93    28.93     0.00    28.93   -31.00     0.00   -31.00 federal         
 1992     0    31.93     0.00    31.93    28.93     0.00    28.93   -31.00     0.00   -31.00 federal         
 1993     0    40.79     0.00    40.79    29.19     0.00    29.19   -39.60     0.00   -39.60 federal         
 1994     0    40.79     0.00    40.79    29.19     0.00    29.19   -39.60     0.00   -39.60 federal         
 1995     0    40.79     0.00    40.79    29.19     0.00    29.19   -39.60     0.00   -39.60 federal         
 1996     0    40.79     0.00    40.79    29.19     0.00    29.19   -39.60     0.00   -39.60 federal         
 1997     0    40.79     0.00    40.79    21.19     0.00    21.19   -39.60     0.00   -39.60 federal         
 1998     0    40.79     0.00    40.79    21.19     0.00    21.19   -39.60     0.00   -39.60 federal         
 1999     0    40.79     0.00    40.79    21.19     0.00    21.19   -39.60     0.00   -39.60 federal         
 2000     0    40.79     0.00    40.79    21.19     0.00    21.19   -39.60     0.00   -39.60 federal         
 2001     0    40.27     0.00    40.27    21.17     0.00    21.17   -39.10     0.00   -39.10 federal         
 2002     0    39.76     0.00    39.76    21.16     0.00    21.16   -38.60     0.00   -38.60 federal         
 2003     0    36.05     0.00    36.05    21.05     0.00    21.05   -35.00     0.00   -35.00 federal         
 2004     0    36.05     0.00    36.05    16.05     0.00    16.05   -35.00     0.00   -35.00 federal         
